,round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,kernel_initializer,last_activation,losses,optimizer
0,60,0.0025050784164472955,0.9992659091949463,0.9992682337760925,0.005309500278987976,0.9982869625091553,0.9982882142066956,relu,60,0.2,60,22,uniform,softmax,categorical_crossentropy,Nadam
1,60,,0.35676997900009155,,,0.3498811423778534,,elu,30,0.0,60,34,uniform,sigmoid,categorical_crossentropy,Nadam
2,60,0.01365922727268098,0.9949429035186768,0.9949721693992615,0.01813177361515515,0.9945462346076965,0.9945196509361267,elu,128,0.2,60,10,uniform,softmax,categorical_crossentropy,Adam
3,30,0.0010562778053596334,0.9982055425643921,0.9981704354286194,0.0018021318337873324,0.9968885183334351,0.9968907237052917,elu,60,0.2,30,28,normal,softmax,mean_squared_error,Nadam
4,60,0.0009584576497752346,0.9981240034103394,0.9980874061584473,0.001687979229465713,0.9970284104347229,0.9970349073410034,elu,128,0.2,60,22,uniform,softmax,mean_squared_error,Nadam
5,30,0.002392959270814698,0.9955954551696777,0.9956437945365906,0.0034386613567429195,0.9936022758483887,0.9936842322349548,relu,128,0.1,30,10,normal,softmax,mean_squared_error,Nadam
6,20,0.011976542950371967,0.9963295459747314,0.9963005781173706,0.012793323698777016,0.9959796071052551,0.9960389137268066,elu,60,0.0,20,28,normal,softmax,categorical_crossentropy,Adam
7,50,0.0022139469133962046,0.9967373609542847,0.996449887752533,0.002483551538353838,0.9962942004203796,0.9961114525794983,elu,30,0.0,50,10,normal,sigmoid,mean_squared_error,adadelta
8,60,0.00031812711542686465,0.9996737241744995,0.9996333122253418,0.000702602086050814,0.9989861845970154,0.9989714622497559,relu,128,0.1,60,34,uniform,sigmoid,mean_squared_error,Nadam
9,50,0.005341184744751738,0.9987764954566956,0.9987775087356567,0.007231718097201996,0.9982869625091553,0.9982882142066956,relu,30,0.0,50,10,normal,softmax,categorical_crossentropy,adadelta
10,30,0.000774176707540266,0.999102771282196,0.9990249872207642,0.0009940181142285961,0.9986016154289246,0.9984622001647949,relu,60,0.0,30,28,uniform,sigmoid,mean_squared_error,Nadam
11,10,0.004756520901853465,0.9908645749092102,0.991093099117279,0.005331473679587477,0.99056077003479,0.9907208681106567,relu,60,0.1,10,40,normal,sigmoid,mean_squared_error,adadelta
12,10,0.023929404320277358,0.9915986657142639,0.9916349053382874,0.02367438580890316,0.9922038912773132,0.9921423196792603,relu,128,0.0,10,22,uniform,softmax,categorical_crossentropy,Nadam
13,50,0.0004390504208243745,0.9995921850204468,0.9996336102485657,0.0006721838771405525,0.99919593334198,0.9991808533668518,relu,128,0.0,50,28,uniform,sigmoid,mean_squared_error,Nadam
14,60,0.002301828442485234,0.999347448348999,0.9993481040000916,0.005788235171240894,0.9982869625091553,0.9982703924179077,relu,30,0.2,60,34,uniform,softmax,categorical_crossentropy,adadelta
15,20,0.014427781509551513,0.9946166276931763,0.737419843673706,0.020574777511808626,0.9925185441970825,0.7319322228431702,relu,60,0.1,20,16,uniform,sigmoid,categorical_crossentropy,Adam
16,40,0.008791818662256392,0.9975529909133911,0.9975991249084473,0.01431598031843622,0.9947909116744995,0.9949243664741516,relu,128,0.1,40,16,normal,softmax,categorical_crossentropy,adadelta
17,50,0.013402781330546272,0.994208812713623,0.9282731413841248,0.025095804102284555,0.9909802675247192,0.8810482025146484,relu,60,0.2,50,10,uniform,sigmoid,categorical_crossentropy,Adam
18,30,,0.35676997900009155,,,0.3498811423778534,,elu,60,0.2,30,34,uniform,sigmoid,categorical_crossentropy,Nadam
19,10,0.026213232815557357,0.9898858070373535,0.768632709980011,0.03224857929509762,0.989197313785553,0.7748369574546814,relu,128,0.1,10,28,uniform,sigmoid,categorical_crossentropy,adadelta
20,20,0.0018646189593520095,0.9970636367797852,0.9968132972717285,0.001962490708503321,0.9970983266830444,0.9969632029533386,elu,128,0.0,20,40,normal,sigmoid,mean_squared_error,Nadam
21,50,,0.35676997900009155,,,0.3498811423778534,,relu,30,0.0,50,40,uniform,sigmoid,categorical_crossentropy,Adam
22,30,0.011144561527433748,0.9964110851287842,0.9964141249656677,0.015167755396455452,0.9946860671043396,0.9946892857551575,elu,30,0.2,30,10,uniform,softmax,categorical_crossentropy,Nadam
23,10,0.010529293686125249,0.9950244426727295,0.7442660331726074,0.012405110933951252,0.9951055645942688,0.7504233717918396,elu,30,0.1,10,34,normal,sigmoid,categorical_crossentropy,Nadam
24,50,0.002308099364731187,0.9994290471076965,0.9994303584098816,0.00689909611909372,0.9975877404212952,0.9975930452346802,relu,128,0.2,50,22,normal,softmax,categorical_crossentropy,Nadam
25,60,0.002954159679053728,0.994453489780426,0.9944331645965576,0.0037255405425375477,0.9936022758483887,0.9934308528900146,relu,60,0.2,60,16,normal,sigmoid,mean_squared_error,adadelta
26,10,0.00531068173393587,0.989559531211853,0.98940110206604,0.004971620767556428,0.991225004196167,0.9912652969360352,relu,30,0.0,10,10,uniform,softmax,mean_squared_error,Adam
27,10,0.024604178322737407,0.9915171265602112,0.9915540814399719,0.028356176703218113,0.9908404350280762,0.9908051490783691,elu,128,0.1,10,34,normal,softmax,categorical_crossentropy,adadelta
28,50,0.006474585899620443,0.9979608654975891,0.9979627132415771,0.011532692921086916,0.9964690208435059,0.9964873194694519,elu,30,0.2,50,40,normal,softmax,categorical_crossentropy,adadelta
29,20,0.009242666376295817,0.9969820380210876,0.7248026728630066,0.012513818989523874,0.9954202175140381,0.7128739356994629,elu,128,0.1,20,40,uniform,sigmoid,categorical_crossentropy,Nadam
30,50,0.0038165449991217635,0.9986949563026428,0.6893045902252197,0.006531824432033599,0.9975528120994568,0.6830862760543823,relu,30,0.1,50,28,uniform,sigmoid,categorical_crossentropy,adadelta
31,40,0.0006290621040379602,0.9999184608459473,0.9999186992645264,0.001541927053900973,0.9996154308319092,0.9996156692504883,relu,60,0.1,40,34,uniform,softmax,categorical_crossentropy,Nadam
32,40,0.006000435662039097,0.9982055425643921,0.9982114434242249,0.00967349958713711,0.9967836737632751,0.9968379735946655,elu,60,0.1,40,40,normal,softmax,categorical_crossentropy,adadelta
33,10,0.003671709443997063,0.9937193989753723,0.9939248561859131,0.004114587232988204,0.9930429458618164,0.9929870963096619,relu,128,0.0,10,34,uniform,sigmoid,mean_squared_error,Nadam
34,30,0.0115655041236615,0.9959216713905334,0.9959746599197388,0.016639184246478915,0.9944413304328918,0.99437415599823,elu,60,0.1,30,10,uniform,softmax,categorical_crossentropy,Adam
35,30,0.0016815054739930902,0.9974714517593384,0.9967185854911804,0.002476437081646335,0.9957348704338074,0.9954096078872681,elu,30,0.1,30,34,uniform,sigmoid,mean_squared_error,Adam
36,10,0.005491300271589225,0.9982055425643921,0.9982470870018005,0.01090398135102478,0.9962592720985413,0.996294379234314,relu,30,0.2,10,34,normal,softmax,categorical_crossentropy,Nadam
37,50,0.0009252316702262089,0.9987764954566956,0.998779296875,0.001033886279902401,0.9986016154289246,0.9986044764518738,relu,128,0.0,50,10,normal,softmax,mean_squared_error,Nadam
38,40,0.012542889612926048,0.9949429035186768,0.8936565518379211,0.0201567281803811,0.9933575987815857,0.8712993264198303,elu,30,0.1,40,10,normal,sigmoid,categorical_crossentropy,adadelta
39,50,,0.35676997900009155,,,0.3498811423778534,,elu,60,0.2,50,28,uniform,sigmoid,categorical_crossentropy,adadelta
